total_orders,,,
12,,,
,,,
total_revenue,,,
442000,,,
,,,
average_order_amount,,,
36833.33333,,,
,,,
highest_order,,,
90000,,,
,,,
,,,
lowest_order,,,
15000,,,
,,,
,,,
region,total_sales,,
East,112000,,
North,168000,,
South,88000,,
West,74000,,
,,,
category,total_sales,,
Clothing,58000,,
Electronics,309000,,
Furniture,75000,,
,,,
month,total_sales,,
2026-09,442000,,
,,,
region,total_sales,,
East,112000,,
North,168000,,
South,88000,,
West,74000,,
,,,
,,,
order_id,region,order_amount,region_total_sales
3,East,75000,112000
7,East,21000,112000
11,East,16000,112000
9,North,60000,168000
5,North,18000,168000
1,North,90000,168000
2,South,15000,88000
6,South,48000,88000
10,South,25000,88000
12,West,30000,74000
8,West,20000,74000
4,West,24000,74000
